episode,mode,mode_episode,score,reward,epsilon
742,train,742,0,-2,0.956574
743,train,743,38,36,0.956517
744,train,744,9,7,0.95646
745,train,745,56,54,0.956402
746,train,746,49,47,0.956345
747,train,747,12,10,0.956288
748,train,748,19,17,0.956231
749,train,749,50,48,0.956173
750,train,750,0,-2,0.956116
751,train,751,0,-2,0.956059
752,train,752,2,0,0.956001
753,train,753,17,15,0.955944
754,train,754,6,4,0.955887
755,train,755,0,-2,0.95583
756,train,756,0,-2,0.955772
757,train,757,12,10,0.955715
758,train,758,4,2,0.955658
759,train,759,7,5,0.955601
760,train,760,21,19,0.955543
761,train,761,2,0,0.955486
762,train,762,55,53,0.955429
763,train,763,28,26,0.955372
764,train,764,58,56,0.955314
765,train,765,2,0,0.955257
766,train,766,16,14,0.9552
767,train,767,35,33,0.955143
768,train,768,0,-2,0.955085
769,train,769,8,6,0.955028
770,train,770,12,10,0.954971
771,train,771,23,21,0.954914
772,train,772,3,1,0.954857
773,train,773,30,28,0.954799
774,train,774,4,2,0.954742
775,train,775,54,52,0.954685
776,train,776,1,-1,0.954628
777,train,777,34,32,0.954571
778,train,778,11,9,0.954513
779,train,779,11,9,0.954456
780,train,780,6,4,0.954399
781,train,781,49,47,0.954342
782,train,782,5,3,0.954285
783,train,783,6,4,0.954227
784,train,784,0,-2,0.95417
785,train,785,7,5,0.954113
786,train,786,58,56,0.954056
787,train,787,30,28,0.953999
788,train,788,0,-2,0.953942
789,train,789,0,-2,0.953884
790,train,790,29,27,0.953827
791,train,791,25,23,0.95377
792,train,792,13,11,0.953713
793,train,793,6,4,0.953656
794,train,794,2,0,0.953599
795,train,795,16,14,0.953542
796,train,796,0,-2,0.953484
797,train,797,9,7,0.953427
798,train,798,2,0,0.95337
799,train,799,0,-2,0.953313
800,train,800,0,-2,0.953256
801,train,801,4,2,0.953199
802,train,802,25,23,0.953142
803,train,803,55,53,0.953085
804,train,804,0,-2,0.953028
805,train,805,29,27,0.95297
806,train,806,10,8,0.952913
807,train,807,7,5,0.952856
808,train,808,10,8,0.952799
809,train,809,5,3,0.952742
810,train,810,0,-2,0.952685
811,train,811,0,-2,0.952628
812,train,812,2,0,0.952571
813,train,813,0,-2,0.952514
814,train,814,1,-1,0.952457
815,train,815,20,18,0.9524
816,train,816,7,5,0.952343
817,train,817,0,-2,0.952286
818,train,818,15,13,0.952228
819,train,819,0,-2,0.952171
820,train,820,13,11,0.952114
821,train,821,9,7,0.952057
822,train,822,1,-1,0.952
823,train,823,2,0,0.951943
824,train,824,0,-2,0.951886
825,train,825,12,10,0.951829
826,train,826,0,-2,0.951772
827,train,827,19,17,0.951715
828,train,828,0,-2,0.951658
829,train,829,56,54,0.951601
830,train,830,47,45,0.951544
831,train,831,22,20,0.951487
832,train,832,3,1,0.95143
833,train,833,25,23,0.951373
834,train,834,2,0,0.951316
835,train,835,7,5,0.951259
836,train,836,6,4,0.951202
837,train,837,8,6,0.951145
838,train,838,0,-2,0.951088
839,train,839,26,24,0.951031
840,train,840,2,0,0.950974
841,train,841,56,54,0.950917
842,train,842,4,2,0.95086
843,train,843,20,18,0.950803
844,train,844,63,61,0.950746
845,train,845,28,26,0.950689
846,train,846,0,-2,0.950632
847,train,847,21,19,0.950575
848,train,848,0,-2,0.950518
849,train,849,12,10,0.950462
850,train,850,31,29,0.950405
851,train,851,7,5,0.950348
852,train,852,6,4,0.950291
853,train,853,6,4,0.950234
854,train,854,0,-2,0.950177
855,train,855,5,3,0.95012
856,train,856,2,0,0.950063
857,train,857,4,2,0.950006
858,train,858,5,3,0.949949
859,train,859,59,57,0.949892
860,train,860,30,28,0.949835
861,train,861,34,32,0.949778
862,train,862,0,-2,0.949721
863,train,863,23,21,0.949665
864,train,864,6,4,0.949608
865,train,865,60,58,0.949551
866,train,866,27,25,0.949494
867,train,867,0,-2,0.949437
868,train,868,13,11,0.94938
869,train,869,0,-2,0.949323
870,train,870,50,48,0.949266
871,train,871,39,37,0.94921
872,train,872,4,2,0.949153
873,train,873,31,29,0.949096
874,train,874,2,0,0.949039
875,train,875,0,-2,0.948982
876,train,876,0,-2,0.948925
877,train,877,19,17,0.948868
878,train,878,47,45,0.948811
879,train,879,29,27,0.948755
880,train,880,18,16,0.948698
881,train,881,33,31,0.948641
882,train,882,3,1,0.948584
883,train,883,3,1,0.948527
884,train,884,0,-2,0.94847
885,train,885,34,32,0.948414
886,train,886,1,-1,0.948357
887,train,887,15,13,0.9483
888,train,888,3,1,0.948243
889,train,889,0,-2,0.948186
890,train,890,0,-2,0.94813
891,train,891,40,38,0.948073
892,train,892,16,14,0.948016
893,train,893,0,-2,0.947959
894,train,894,23,21,0.947902
895,train,895,0,-2,0.947846
896,train,896,42,40,0.947789
897,train,897,13,11,0.947732
898,train,898,21,19,0.947675
899,train,899,9,7,0.947618
900,train,900,0,-2,0.947562
901,train,901,0,-2,0.947505
902,train,902,16,14,0.947448
903,train,903,3,1,0.947391
904,train,904,35,33,0.947335
905,train,905,11,9,0.947278
906,train,906,26,24,0.947221
907,train,907,15,13,0.947164
908,train,908,3,1,0.947108
